model,accuracy,precision,recall,f1,macro_f1,entity_precision,entity_recall,entity_f1,invalid_json_rate,avg_latency_sec
encoder/hfl__chinese-macbert-base,0.958,0.9541984732824428,0.9652509652509652,0.9596928982725528,0.9579257810778212,0.0,0.0,0.0,,
encoder/hfl__chinese-roberta-wwm-ext,0.954,0.9538461538461539,0.9575289575289575,0.9556840077071291,0.9539334799450407,0.0,0.0,0.0,,
encoder/tfidf_logreg,0.93,0.9242424242424242,0.9420849420849421,0.9330783938814532,0.929851565913473,0.0,0.0,0.0,,
encoder/tfidf_svm,0.95,0.9431818181818182,0.9613899613899614,0.9521988527724665,0.9498939756524807,0.0,0.0,0.0,,
encoder/valuesimplex-ai-lab__FinBERT2-large,0.962,0.9511278195488722,0.9768339768339769,0.9638095238095238,0.9619047619047618,0.0,0.0,0.0,,
qwen3-8b-few-shot,0.934,0.897887323943662,0.9845559845559846,0.9392265193370166,0.9335082268457512,0.5182926829268293,0.794392523364486,0.6273062730627307,0.0,1.3894263785372023
qwen3-8b-qlora-main,0.972,0.9657794676806084,0.9806949806949807,0.9731800766283525,0.9719456868497411,0.8208616780045351,0.8457943925233645,0.8331415420023015,0.0,2.091848336109659
qwen3-8b-zero-shot,0.906,0.8605442176870748,0.9768339768339769,0.9150090415913201,0.904931813860537,0.43983402489626555,0.7429906542056075,0.5525629887054735,0.0,1.2991231040749698
